user_id,subscription_type,final_journey
289379,Quarterly,Other-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Courses-Homepage-Courses-Sign up-Log in-Checkout
289748,Annual,Homepage-Pricing-Checkout-Career tracks-Career tracks-Sign up-Career track certificate-Homepage-Homepage-Career tracks-Courses-Courses-Log in-Log in-Coupon-Coupon-Checkout-Coupon-Coupon-Checkout-Coupon-Coupon-Coupon-Checkout
289842,Annual,Courses-Sign up-Sign up-Log in-Coupon-Other-Homepage-Career track certificate-Coupon-Homepage-Sign up-Log in-Coupon-Coupon
289919,Monthly,Other-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Resources center-Resources center-Pricing-Log in-Checkout-Checkout
289988,Monthly,Courses-Courses-Other-Courses-Log in-Courses-Pricing-Courses-Log in-Homepage-Career tracks-Courses-Courses-Sign up-Log in-Homepage-Log in-Checkout
290258,Monthly,Other-Pricing-Career track certificate-Course certificate-Sign up-Courses-Courses-Homepage-Log in-Log in-Other-Resources center-Success stories-Checkout-Coupon
290289,Monthly,Homepage-Log in-Other-Sign up-Checkout
290527,Annual,Other-Other-Log in-Checkout
291012,Monthly,Other-Career tracks-Courses-Sign up-Homepage-Career tracks-Sign up-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Log in-Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Courses-Log in-Log in-Checkout-Homepage-Pricing-Log in-Career tracks-Homepage-Log in-Homepage-Log in-Other-Log in-Checkout
291100,Monthly,Checkout-Checkout-Homepage-Log in-Other-Homepage-Log in-Log in-Log in-Log in-Log in-Homepage-Log in
291598,Annual,Homepage-Career tracks-Career tracks-Sign up-Homepage-Log in-Log in-Homepage-Pricing-Homepage-Pricing-Homepage-Log in-Homepage-Pricing-Homepage-Log in-Coupon
291921,Annual,Homepage-Career track certificate-Pricing-Checkout-Homepage-Pricing-Log in-Sign up-Homepage-Pricing-Pricing-Checkout-Career track certificate-Career tracks-Sign up-Career track certificate-Sign up-Career tracks-Homepage-Career track certificate-Course certificate-Upcoming courses-Career tracks-Courses-Career track certificate-Pricing-Career tracks-Log in-Homepage-Pricing-Homepage-Pricing-Checkout-Homepage-Pricing-Career tracks-Pricing-Career tracks-Career track certificate-Sign up-Log in-Checkout
292469,Annual,Pricing-Checkout-Homepage-Homepage-Career tracks-Sign up-Courses-Career tracks-Courses-Courses-Sign up-Pricing-Courses-Pricing-Career tracks-Pricing-Career tracks-Career tracks-Pricing-Pricing-Checkout-Homepage-Log in-Log in-Checkout-Log in-Homepage-Log in-Checkout
292620,Annual,Homepage-Career track certificate-Log in-Homepage-Log in-Homepage-Career track certificate-Homepage-Career track certificate-Sign up-Checkout
292886,Annual,Homepage-Sign up-Courses-Sign up-Checkout
293325,Annual,Coupon-Other-Course certificate-Career track certificate-Career tracks-Courses-Coupon-Checkout
293572,Annual,Other-Log in-Coupon-Coupon
293945,Annual,Homepage-Pricing-Upcoming courses-Career tracks-Sign up-Homepage-Pricing-Checkout-Coupon-Homepage-Sign up-Sign up-Career tracks-Resources center-Other-Coupon
294116,Monthly,Homepage-Pricing-Homepage-Pricing-Homepage-Courses-Career tracks-Pricing-Checkout
294736,Annual,Other-Career tracks-Pricing-Resources center-Course certificate-Success stories-Success stories-Career track certificate-Pricing-Courses-Homepage-Career tracks-Courses-Log in-Homepage-Homepage-Career tracks-Resources center-Career track certificate-Career tracks-Homepage-Homepage-Pricing-Courses-Career tracks-Courses-Homepage-Career track certificate-Pricing-Career tracks-Resources center-Other-Resources center-Log in-Homepage-Sign up-Log in-Checkout-Homepage-Log in-Homepage-Sign up-Log in-Checkout
295049,Annual,Career track certificate-Sign up-Homepage-Career track certificate-Career tracks-Courses-Courses-Pricing-Homepage-Other-Homepage-Career tracks-Courses-Homepage-Courses-Other-Career track certificate-Career tracks-Sign up-Courses-Coupon-Coupon-Homepage-Log in-Other-Log in-Checkout
